,Unnamed: 0,SF3 Stream Index,Stream,# SF3 Stars,# SF3 Stars in DESI,# of SF3 Stars with VHel,Galstream Stream name,Metallicities,streamname,Distance_kpc
0,1,1,C-20,29.0,8.0,8.0,C-20-I24,-2.93,,
1,3,3,NGC,173.0,3.0,7.0,False,-1.32,,
2,4,4,ATLAS,208.0,3.0,80.0,AAU-ATLAS,-2.2,,
3,6,6,Kwando,138.0,32.0,62.0,Kwando-I21,-2.29,Kwando,8.2
4,8,8,New-2,90.0,20.0,18.0,New-2-I24,-2.07,,
5,10,10,Gaia-12,46.0,9.0,5.0,Gaia-12-I21,-3.28,Gaia-12,13.3
6,17,17,New-3,120.0,3.0,10.0,New-3-I24,-2.71,,
7,19,19,Leiptr,412.0,26.0,37.0,Leiptr-I21,-2.17,Leiptr,8.9
8,22,22,New-6,146.0,12.0,12.0,New-6-I24,-2.18,,
9,24,24,C-25,121.0,40.0,25.0,C-25-I24,-2.3,,
10,25,25,C-11,112.0,33.0,9.0,C-11-I24,-2.91,,
11,27,27,New-7,37.0,15.0,11.0,New-7-I24,-2.23,,
12,28,28,New-8,7.0,1.0,1.0,New-8-I24,-1.99,,
13,29,29,New-9,10.0,6.0,7.0,New-9-I24,-1.95,,
14,30,30,C-10,158.0,49.0,5.0,C-10-I24,-0.91,,
15,31,31,New-10,47.0,1.0,7.0,New-10-I24,-0.99,,
16,32,32,New-11,18.0,7.0,6.0,New-11-I24,-2.03,,
17,33,33,Gaia-10,141.0,45.0,26.0,Gaia-10-I21,-1.4,Gaia-10,17.4
18,34,34,Gjoll,607.0,18.0,40.0,NGC3201-P21,-1.63,,
19,35,35,C-9,183.0,70.0,35.0,C-9-I24,-0.72,,
20,36,36,C-24,244.0,86.0,27.0,C-24-I24,-0.93,,
21,39,39,Slidr,330.0,148.0,34.0,Slidr-I21,-1.7,Slidr,2.4
22,41,41,Ylgr,919.0,14.0,20.0,Ylgr-I21,-2.09,Ylgr,8.6
23,42,42,Sylgr,256.0,109.0,33.0,Sylgr-I21,-2.92,Sylgr,2.4
24,43,43,New-15,152.0,74.0,23.0,New-15-I24,-2.01,,
25,47,47,Fjorm,297.0,104.0,29.0,M68-P19,-2.23,,
26,48,48,Orphan,867.0,113.0,247.0,Orphan-K23,-1.9,,
27,49,49,Gaia-1,200.0,44.0,28.0,Gaia-1-I21,-1.8,Gaia-1,5.0
28,50,50,C-23,29.0,12.0,6.0,C-23-I24,-2.36,,
29,51,51,LMS-1,358.0,89.0,29.0,LMS1,-2.09,LMS-1,16.2
30,52,52,C-22,39.0,17.0,11.0,C-22-I24,-2.05,,
31,53,53,GD-1,1468.0,670.0,323.0,GD-1-I21,-2.49,GD-1,9.2
32,56,56,New-17,13.0,2.0,0.0,New-17-I24,-2.35,,
33,57,57,NGC5466,43.0,14.0,6.0,NGC5466-J21,-1.98,NGC5466,16.6
34,58,58,New-18,107.0,33.0,1.0,New-18-I24,-0.94,,
35,59,59,Gaia-6,145.0,63.0,14.0,Gaia-6-I21,-1.53,Gaia-6,8.5
36,60,60,New-19,40.0,22.0,4.0,New-19-I24,-0.79,,
37,61,61,Pal-5,129.0,33.0,69.0,Pal5,-1.41,,
38,62,62,M5,91.0,33.0,11.0,M5-G19,-1.29,M5,15.9
39,63,63,Kshir,141.0,50.0,7.0,Kshir-I21,-1.83,Kshir,10.1
40,64,64,Svol,234.0,59.0,16.0,Svol-I21,-1.98,Svol,8.9
41,65,65,Gaia-9,233.0,78.0,25.0,Gaia-9-I21,-2.21,Gaia-9,3.8
42,68,68,M92,202.0,140.0,23.0,M92-I21,-2.31,M92,9.2
43,70,70,Gaia-11,84.0,11.0,3.0,Gaia-11-I21,-1.19,Gaia-11,11.5
44,71,71,Hrid,666.0,46.0,29.0,Hrid-I21,-1.13,Hrid,3.2
45,74,74,New-21,762.0,61.0,3.0,New-21-I24,-0.87,,
46,75,75,Phlegethon,632.0,85.0,41.0,Phlegethon-I21,-2.19,Phlegethon,3.5
47,76,76,NGC7089,15.0,2.0,2.0,M2-I21,-1.65,,
48,79,79,New-23,44.0,4.0,6.0,New-23-I24,-2.25,,
49,80,80,New-24,56.0,1.0,7.0,New-24-I24,-0.64,,
50,82,82,New-26,43.0,11.0,4.0,New-26-I24,-0.17,,
51,84,84,NGC7492,26.0,1.0,1.0,NGC7492-I24,-1.78,,
52,85,85,C-19,46.0,6.0,12.0,C-19-I21,-3.58,C-19,18.0
53,86,86,Jhelum,986.0,1.0,160.0,Jhelum-a/b,-2.12,Jhelum,10.9
